;params;AIC;resid_sum
286;(0, 1, 0, 1, 3, 2, 12);1563.1413235075142;-2965858.872512038
287;(0, 1, 0, 1, 3, 3, 12);1563.1413235075142;-3162453.3009652346
288;(0, 1, 0, 2, 0, 0, 12);1563.1413235075142;201502.4996347499
289;(0, 1, 0, 2, 0, 1, 12);1563.1413235075142;85222.36809849914
290;(0, 1, 0, 2, 0, 2, 12);1563.1413235075142;479428.7850214221
291;(0, 1, 0, 2, 0, 3, 12);1563.1413235075142;469454.97357612563
292;(0, 1, 0, 2, 1, 0, 12);1563.1413235075142;-741405.6849967892
293;(0, 1, 0, 2, 1, 1, 12);1563.1413235075142;-1943855.8955229535
294;(0, 1, 0, 2, 1, 2, 12);1563.1413235075142;-620030.1787964503
295;(0, 1, 0, 2, 1, 3, 12);1563.1413235075142;-688926.7679575316
296;(0, 1, 0, 2, 2, 0, 12);1563.1413235075142;-2132872.607537203
297;(0, 1, 0, 2, 2, 1, 12);1563.1413235075142;-1998431.2934292548
298;(0, 1, 0, 2, 2, 2, 12);1563.1413235075142;-1951746.515379425
299;(0, 1, 0, 2, 2, 3, 12);1563.1413235075142;-1913204.322273066
300;(0, 1, 0, 2, 3, 0, 12);1563.1413235075142;-3271742.55067153
301;(0, 1, 0, 2, 3, 1, 12);1563.1413235075142;-3121875.505452856
302;(0, 1, 0, 2, 3, 2, 12);1563.1413235075142;-3049209.1432545464
303;(0, 1, 0, 2, 3, 3, 12);1563.1413235075142;-2987723.869517705
304;(0, 1, 0, 3, 0, 0, 12);1563.1413235075142;149594.80058055348
305;(0, 1, 0, 3, 0, 1, 12);1563.1413235075142;92340.86255322304
306;(0, 1, 0, 3, 0, 2, 12);1563.1413235075142;478425.88371772924
307;(0, 1, 0, 3, 0, 3, 12);1563.1413235075142;470804.6391740142
308;(0, 1, 0, 3, 1, 0, 12);1563.1413235075142;-1480910.0049783594
309;(0, 1, 0, 3, 1, 1, 12);1563.1413235075142;-1562143.1853281292
310;(0, 1, 0, 3, 1, 2, 12);1563.1413235075142;-687815.3579088913
311;(0, 1, 0, 3, 1, 3, 12);1563.1413235075142;-607899.7472164519
312;(0, 1, 0, 3, 2, 0, 12);1563.1413235075142;-2065682.6664575525
313;(0, 1, 0, 3, 2, 1, 12);1563.1413235075142;-1984767.5860424316
314;(0, 1, 0, 3, 2, 2, 12);1563.1413235075142;-1931282.3532849522
315;(0, 1, 0, 3, 2, 3, 12);1563.1413235075142;-1913733.7755555105
316;(0, 1, 0, 3, 3, 0, 12);1563.1413235075142;-2780360.4151500533
317;(0, 1, 0, 3, 3, 1, 12);1563.1413235075142;-2931130.0763841225
318;(0, 1, 0, 3, 3, 2, 12);1563.1413235075142;-2484488.3282597894
319;(0, 1, 0, 3, 3, 3, 12);1563.1413235075142;-2468733.2239839844
320;(0, 1, 1, 0, 0, 0, 12);1563.1413235075142;5420914.515260363
321;(0, 1, 1, 0, 0, 1, 12);1563.1413235075142;3012411.148914236
322;(0, 1, 1, 0, 0, 2, 12);1563.1413235075142;1991500.9702051212
323;(0, 1, 1, 0, 0, 3, 12);1563.1413235075142;1660483.5085397218
324;(0, 1, 1, 0, 1, 0, 12);1563.1413235075142;-799343.1170381239
325;(0, 1, 1, 0, 1, 1, 12);1563.1413235075142;-667539.342400082
326;(0, 1, 1, 0, 1, 2, 12);1563.1413235075142;-763807.5855840513
327;(0, 1, 1, 0, 1, 3, 12);1563.1413235075142;-738737.6395766012
328;(0, 1, 1, 0, 2, 0, 12);1563.1413235075142;-1618999.5846461519
329;(0, 1, 1, 0, 2, 1, 12);1563.1413235075142;-1996002.028297135
330;(0, 1, 1, 0, 2, 2, 12);1563.1413235075142;-2086924.6899313373
331;(0, 1, 1, 0, 2, 3, 12);1563.1413235075142;-2082455.7598952819
332;(0, 1, 1, 0, 3, 0, 12);1563.1413235075142;2657497.3119986523
333;(0, 1, 1, 0, 3, 1, 12);1563.1413235075142;286133.220850382
334;(0, 1, 1, 0, 3, 2, 12);1563.1413235075142;-1312665.8923002416
335;(0, 1, 1, 0, 3, 3, 12);1563.1413235075142;-2286457.124337049
336;(0, 1, 1, 1, 0, 0, 12);1563.1413235075142;1333173.1250803552
337;(0, 1, 1, 1, 0, 1, 12);1563.1413235075142;1310242.205892526
338;(0, 1, 1, 1, 0, 2, 12);1563.1413235075142;1360295.798377966
339;(0, 1, 1, 1, 0, 3, 12);1563.1413235075142;1373033.0090637875
340;(0, 1, 1, 1, 1, 0, 12);1563.1413235075142;-699023.4182677878
341;(0, 1, 1, 1, 1, 1, 12);1563.1413235075142;-718669.9358000299
342;(0, 1, 1, 1, 1, 2, 12);1563.1413235075142;-760560.979577323
343;(0, 1, 1, 1, 1, 3, 12);1563.1413235075142;-652098.547939469
344;(0, 1, 1, 1, 2, 0, 12);1563.1413235075142;-2246293.0430761194
