;params;AIC;RMSE
299;(0, 1, 2, 0, 2, 3, 12);903.9010439430818;308685.31018400827
300;(0, 1, 2, 1, 0, 0, 12);1569.0631272539154;311408.37898309977
301;(0, 1, 2, 1, 0, 1, 12);1571.0614195928356;311443.2266775113
302;(0, 1, 2, 1, 0, 2, 12);1572.974605952092;310672.5231926465
303;(0, 1, 2, 1, 0, 3, 12);1574.9704571875875;310649.8219525281
304;(0, 1, 2, 1, 1, 0, 12);1218.9091782268988;300890.8824294132
305;(0, 1, 2, 1, 1, 1, 12);1220.9047276433735;300902.1128059965
306;(0, 1, 2, 1, 1, 2, 12);1222.8924931057484;300890.1576093491
307;(0, 1, 2, 1, 1, 3, 12);1224.762131346764;300078.03968964616
308;(0, 1, 2, 1, 2, 0, 12);902.7144286249757;340657.7554332899
309;(0, 1, 2, 1, 2, 1, 12);902.4802276562534;316237.99692462827
310;(0, 1, 2, 1, 2, 2, 12);903.9690923863103;310697.77315593784
311;(0, 1, 2, 1, 2, 3, 12);905.8379789898172;309677.49190098175
312;(0, 1, 2, 2, 0, 0, 12);1571.0617506898454;311437.9903095391
313;(0, 1, 2, 2, 0, 1, 12);1573.0376917433518;311361.4826812907
314;(0, 1, 2, 2, 0, 2, 12);1574.9711129834614;310660.09364958346
315;(0, 1, 2, 2, 0, 3, 12);1576.9722489561545;310665.39794691955
316;(0, 1, 2, 2, 1, 0, 12);1220.9024692621965;300909.77029581665
317;(0, 1, 2, 2, 1, 1, 12);1222.9013768667742;300908.1353790573
318;(0, 1, 2, 2, 1, 2, 12);1224.6038169772664;299293.2979157838
319;(0, 1, 2, 2, 1, 3, 12);1226.6351818371147;299290.56652127474
320;(0, 1, 2, 2, 2, 0, 12);901.4760599143048;310890.7996253094
321;(0, 1, 2, 2, 2, 1, 12);903.0840042839793;303828.15048402734
322;(0, 1, 2, 2, 2, 2, 12);904.9456030739267;302143.1563243113
323;(0, 1, 2, 2, 2, 3, 12);906.9194310073452;301374.912824248
324;(0, 1, 2, 3, 0, 0, 12);1572.969603140853;310636.9921153752
325;(0, 1, 2, 3, 0, 1, 12);1574.9695731878091;310634.9771563005
326;(0, 1, 2, 3, 0, 2, 12);1576.969662400846;310635.8383761059
327;(0, 1, 2, 3, 0, 3, 12);1578.9697410241392;310638.64503934904
328;(0, 1, 2, 3, 1, 0, 12);1222.8785322844085;300801.7587318896
329;(0, 1, 2, 3, 1, 1, 12);1224.6949852213952;299796.3527052301
330;(0, 1, 2, 3, 1, 2, 12);1226.5990015175576;299276.45567506267
331;(0, 1, 2, 3, 1, 3, 12);1228.5365215095733;298820.50078900985
332;(0, 1, 2, 3, 2, 0, 12);903.2132062552776;306640.43622847524
333;(0, 1, 2, 3, 2, 1, 12);905.0047963298337;303132.2876280624
334;(0, 1, 2, 3, 2, 2, 12);906.9250656340148;301589.795225946
335;(0, 1, 2, 3, 2, 3, 12);908.9192232669643;301351.0574360863
336;(0, 1, 3, 0, 0, 0, 12);1581.7124258631122;395345.6617212027
337;(0, 1, 3, 0, 0, 1, 12);1572.5376743621323;328804.63660511374
338;(0, 1, 3, 0, 0, 2, 12);1573.0693395271994;318764.2169222221
339;(0, 1, 3, 0, 0, 3, 12);1574.4201411073482;313807.3583208423
340;(0, 1, 3, 0, 1, 0, 12);1219.540264919747;303808.1128956577
341;(0, 1, 3, 0, 1, 1, 12);1221.086744806793;300867.1536554567
342;(0, 1, 3, 0, 1, 2, 12);1222.9445814803632;300837.74297033856
343;(0, 1, 3, 0, 1, 3, 12);1224.9436255716362;300806.5044370067
344;(0, 1, 3, 0, 2, 0, 12);910.9126424193838;423827.90274338174
345;(0, 1, 3, 0, 2, 1, 12);904.7949824289263;341952.97416848474
346;(0, 1, 3, 0, 2, 2, 12);904.7848325750824;317206.1959268435
347;(0, 1, 3, 0, 2, 3, 12);906.2929772458069;312806.9514306078
348;(0, 1, 3, 1, 0, 0, 12);1570.1551561329275;310899.1605173822
349;(0, 1, 3, 1, 0, 1, 12);1572.15485708295;310914.6837870809
350;(0, 1, 3, 1, 0, 2, 12);1574.0631614014733;310117.82962224155
351;(0, 1, 3, 1, 0, 3, 12);1576.058040650676;310089.0370669161
352;(0, 1, 3, 1, 1, 0, 12);1221.0425839068355;300725.1360613395
